# tank_side
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
-156.739 194.764 1143.38 -223.062 282.718 356.365 5.46967 2112 7 1117 1 1 0 0 1 
237.1 -79.2691 1104.95 404.422 -132.714 350.691 5.1628 2112 7 1118 1 1 0 0 1 
-204.934 -143.185 1133.62 -374.764 -264.055 438.042 5.05047 2112 7 1119 1 1 0 0 1 
181.413 172.015 1121.22 343.083 321.948 417.457 5.02972 2212 7 1120 1 1 4.50857e-25 4.50857e-25 1 
-59.4418 242.831 1006.12 -163.393 753.785 335.031 4.37317 2112 7 1123 1 1 0 0 1 
-27.4584 248.487 1175.34 -26.3331 238.845 150.22 10.0012 1000010020 8 1011 1 1 4.44752e-24 4.44752e-24 1 
-249.823 -9.40095 1059.35 -450.001 -16.7544 73.0245 6.98887 1000010020 8 1018 1 1 1.65187e-24 1.65187e-24 1 
-248.973 -22.6327 808.107 -33.7893 -3.06369 -28.6167 26.5262 2112 8 1021 1 1 0 0 1 
8.98959 -249.838 879.658 1.43767 -39.4485 -21.9873 23.284 2112 8 1022 1 1 0 0 1 
-165.535 187.345 1007.78 -34.071 38.6005 -2.28418 18.657 2112 8 1023 1 1 0 0 1 
90.8835 -232.895 906.077 18.3727 -47.0089 -22.7737 18.9673 2112 8 1024 1 1 0 0 1 
-217.089 -123.985 1062.89 -48.0007 -27.4135 9.73911 17.6099 2112 8 1025 1 1 0 0 1 
-167.444 185.641 1057.36 -40.8892 45.3804 9.40575 16.271 2112 8 1026 1 1 0 0 1 
-51.5619 244.625 1033.67 -5.11083 24.2782 1.56179 35.1586 2112 8 1029 1027 1 0 0 1 
-101.26 -228.575 833.748 -25.3795 -57.3364 -46.4506 15.9511 2112 8 1031 1 1 0 0 1 
186.386 -166.615 1030.75 60.9152 -54.3982 3.8789 13.0493 2112 8 1032 1 1 0 0 1 
-240.32 -68.8933 1040.57 -38.9731 -11.181 3.54943 22.7535 2112 8 1035 1033 1 0 0 1 
209.708 136.097 879.463 30.8079 19.9787 -20.4408 24.7898 2112 8 1036 1033 1 0 0 1 
-115.895 221.514 815.438 -21.1415 40.4542 -37.1221 20.6144 2112 8 1037 1033 1 0 0 1 
-236.906 -79.8478 1164.05 -62.7217 -21.1557 38.5054 15.2906 2112 8 1039 1033 1 0 0 1 
201.089 -148.536 1092.73 67.1834 -49.5959 24.717 12.848 2112 8 1040 1033 1 0 0 1 
193.764 -157.973 901.354 79.3736 -64.671 -48.0332 11.132 2112 8 1041 1033 1 0 0 1 
153.415 -197.393 809.966 90.6615 -116.554 -123.239 8.83871 2112 8 1042 1033 1 0 0 1 
26.0345 -248.641 1006.12 24.323 -231.082 -11.6887 6.8946 2112 8 1043 1033 1 0 0 1 
-206.956 140.248 935.046 -78.696 53.3851 -31.8924 11.702 2112 8 1046 1 1 0 0 1 
249.399 -17.3177 1071.52 45.4364 -3.24982 9.60538 20.6409 2112 8 1049 1047 1 0 0 1 
248.743 25.0342 886.548 93.6706 9.44876 -49.807 11.7971 2112 8 1054 1 1 0 0 1 
82.8281 -235.88 971.394 36.4525 -103.639 -20.8661 10.5988 2112 8 1055 1 1 0 0 1 
57.2152 -243.365 1024.37 26.6131 -112.944 2.55141 10.2202 2112 8 1058 1 1 0 0 1 
49.9695 244.955 813.903 19.2365 94.1125 -78.7275 11.6483 2112 8 1060 1 1 0 0 1 
20.3957 -249.167 1035.4 12.9254 -156.99 10.4182 8.46016 2112 8 1065 1 1 0 0 1 
-19.929 249.204 843.179 -10.6679 134.197 -94.5842 9.3277 2112 8 1066 1 1 0 0 1 
-218.172 122.07 1057.46 -144.668 81.0314 25.5994 8.21621 2112 8 1070 1 1 0 0 1 
123.974 217.096 937.636 83.6271 146.355 -54.7476 8.14998 2112 8 1071 1 1 0 0 1 
-173.723 179.779 1169.62 -80.0837 83.0026 69.5547 10.2691 2212 8 1072 1 1 4.82492e-24 4.82492e-24 1 
-194.524 -157.036 1131.83 -128.373 -103.648 74.5914 8.25121 2112 8 1073 1 1 0 0 1 
-210.237 135.279 840.923 -19.5448 12.6956 -16.3693 37.4925 2112 8 1081 1079 1 0 0 1 
118.347 -220.214 805.899 14.7724 -27.6075 -26.9615 28.2118 2112 8 1082 1079 1 0 0 1 
37.1028 -247.231 1094.82 27.7124 -184.047 56.5539 7.71564 2112 8 1085 1 1 0 0 1 
88.5374 -233.797 1125.53 65.3804 -172.377 78.6632 7.76262 2112 8 1087 1 1 0 0 1 
-9.06024 -249.836 1105.51 -5.06471 -142.014 49.2667 8.99034 2212 8 1088 1 1 3.59059e-24 3.59059e-24 1 
220.611 117.604 1065.75 194.367 103.621 41.2801 7.07641 2112 8 1091 1 1 0 0 1 
234.604 -86.3767 1197.54 179.403 -65.9686 136.562 7.64416 2112 8 1093 1 1 0 0 1 
136.496 209.449 1050.09 105.684 162.046 24.093 7.5492 2212 8 1094 1 1 2.16228e-24 2.16228e-24 1 
-207.587 -139.312 998.85 -14.0235 -9.56471 -1.56103 49.7727 2112 8 1097 1095 1 0 0 1 
-236.456 81.1688 800.849 -13.4708 4.51925 -12.6164 58.3921 2112 8 1098 1095 1 0 0 1 
-6.84549 249.906 1179.35 -1.0162 39.2351 24.9153 23.2941 2112 8 1100 1095 1 0 0 1 
-165.083 187.744 1080.94 -34.7109 39.1593 12.4428 18.3573 2112 8 1101 1095 1 0 0 1 
199.087 151.209 808.103 169.355 128.613 -179.19 7.26191 2112 8 1102 1 1 0 0 1 
-98.8084 229.645 989.328 -127.945 297.792 -38.2983 5.97682 2112 8 1107 1 1 0 0 1 
185.464 -167.64 1063.05 282.634 -255.212 67.2882 5.64279 2112 8 1110 1 1 0 0 1 
48.1552 245.318 843.005 61.8571 314.47 -225.377 6.06724 2112 8 1111 1 1 0 0 1 
-248.941 22.9896 957.897 -396.446 36.7375 -97.1468 5.5636 2112 8 1112 1 1 0 0 1 
72.7775 239.172 976.585 130.146 427.165 -75.5025 5.36608 2112 8 1114 1 1 0 0 1 
-249.869 -8.1073 865.055 -417.713 -13.4448 -257.256 5.53158 2112 8 1115 1 1 0 0 1 
-247.579 34.7085 1115.87 -587.74 82.5965 230.368 5.01146 2112 8 1119 1 1 0 0 1 
61.0555 -242.43 1192.61 131.96 -522.818 374.776 5.18835 2212 8 1120 1 1 3.89203e-25 3.89203e-25 1 
-233.366 89.6672 954.743 -784.684 301.878 -215.731 4.68581 2112 8 1122 1 1 0 0 1 
